primary_threshold,secondary_threshold,macro_f1,macro_precision,macro_recall,micro_f1,micro_precision,micro_recall,accuracy,sample_f1,sample_precision,sample_recall,avg_assignments,n_predictions,n_samples_with_predictions,n_correct_predictions
0.15000000000000002,0.49999999999999994,0.3646516578929916,0.4407145399477399,0.35436505416838554,0.4404005332175962,0.4732493837031115,0.41181586270871984,0.41181586270871984,0.41181586270871984,0.41181586270871984,0.41181586270871984,0.8701878478664193,17248,9794,7103
0.15000000000000002,0.5499999999999999,0.35798884827588984,0.3880247410694429,0.40608371592732234,0.441747572815534,0.4016992595405354,0.4906655844155844,0.4906655844155844,0.4906655844155844,0.4906655844155844,0.4906655844155844,1.2214749536178107,17248,12655,8463
0.15000000000000002,0.5999999999999999,0.320886829893936,0.34253525611653624,0.40963022650976283,0.4072872473171949,0.33456334563345635,0.5204081632653061,0.5204081632653061,0.5204081632653061,0.5204081632653061,0.5204081632653061,1.555484693877551,17248,14921,8976
0.15000000000000002,0.6499999999999999,0.2575251328893821,0.29764934955550626,0.3596442739951348,0.3414076782449726,0.266025641025641,0.4764030612244898,0.4764030612244898,0.4764030612244898,0.4764030612244898,0.4764030612244898,1.7908163265306123,17248,16260,8217
0.15000000000000002,0.7,0.1873045180440892,0.26021408940437896,0.2854223160013345,0.2639597926312873,0.20036046860919196,0.38671150278293137,0.38671150278293137,0.38671150278293137,0.38671150278293137,0.38671150278293137,1.930078849721707,17248,16960,6670
0.15000000000000002,0.7499999999999999,0.12065452512122654,0.24490339746939793,0.21013012799769193,0.1835150762544142,0.1379119276757072,0.27417671614100186,0.27417671614100186,0.27417671614100186,0.27417671614100186,0.27417671614100186,1.988056586270872,17248,17199,4729
0.15000000000000002,0.7999999999999998,0.0648468962910786,0.24639696302836084,0.1561136864070645,0.12222994363369624,0.09161940039356407,0.18355751391465677,0.18355751391465677,0.18355751391465677,0.18355751391465677,0.18355751391465677,2.00347866419295,17248,17247,3166
0.20000000000000004,0.3,0.1023133793892307,0.6182863946648441,0.05885010050236907,0.1158687466379774,0.8025335320417287,0.06244202226345084,0.06244202226345084,0.06244202226345084,0.06244202226345084,0.06244202226345084,0.0778061224489796,17248,1233,1077
0.20000000000000004,0.35,0.18195189645395088,0.5866641166170987,0.11562474259885237,0.21147077777226986,0.7292307692307692,0.1236665120593692,0.1236665120593692,0.1236665120593692,0.1236665120593692,0.1236665120593692,0.16958487940630798,17248,2486,2133
0.20000000000000004,0.39999999999999997,0.269952758198997,0.5477501620890782,0.1947213074097154,0.31962274037201993,0.647329324372126,0.21219851576994433,0.21219851576994433,0.21219851576994433,0.21219851576994433,0.21219851576994433,0.3278061224489796,17248,4437,3660
0.20000000000000004,0.44999999999999996,0.33732170701282355,0.49720805420828534,0.2815086487931158,0.40199888950583007,0.5559537217159823,0.3148191094619666,0.3148191094619666,0.3148191094619666,0.3148191094619666,0.3148191094619666,0.5662685528756958,17248,6955,5430
0.20000000000000004,0.49999999999999994,0.36765692847514475,0.4412030229046107,0.3583470043679135,0.4432435770750988,0.4741675475687104,0.41610621521335805,0.41610621521335805,0.41610621521335805,0.41610621521335805,0.41610621521335805,0.8775510204081632,17248,9794,7177
