primary_threshold,secondary_threshold,macro_f1,macro_precision,macro_recall,avg_assignments,n_predictions
0.30000000000000004,0.5999999999999999,0.41404110345436873,0.34443298693936447,0.5646451762523191,1.6288845083487942,17248
0.30000000000000004,0.6499999999999999,0.3670114961569043,0.2928328014106075,0.5268436920222634,1.8650858070500929,17248
0.30000000000000004,0.7,0.29267437494478304,0.22517278285773185,0.4391813543599258,2.004522263450835,17248
0.30000000000000004,0.7499999999999999,0.2095343007332803,0.1565851205200695,0.3269364564007421,2.0625,17248
0.30000000000000004,0.7999999999999998,0.14643519745560563,0.10724606671672998,0.23631725417439703,2.0779220779220777,17248
0.3500000000000001,0.39999999999999997,0.19745612013990957,0.18833994304628582,0.22106910946196662,0.36427411873840443,17248
0.3500000000000001,0.44999999999999996,0.28314509811205085,0.2625625582287224,0.3359809833024119,0.643610853432282,17248
0.3500000000000001,0.49999999999999994,0.35996463274408547,0.3216433902368503,0.4547773654916512,0.9960575139146568,17248
0.3500000000000001,0.5499999999999999,0.4147582872188623,0.357104506501538,0.5531655844155844,1.3796382189239331,17248
0.3500000000000001,0.5999999999999999,0.42682731937718027,0.35124875511007236,0.6028525046382189,1.7263450834879406,17248
0.3500000000000001,0.6499999999999999,0.3868033552460732,0.3048472399585572,0.5758928571428571,1.9648075139146568,17248
0.3500000000000001,0.7,0.31561635771978996,0.23955464564810575,0.49292671614100186,2.104359925788497,17248
0.3500000000000001,0.7499999999999999,0.23334594955652468,0.17162406432466729,0.3819573283858998,2.1623956400742115,17248
0.3500000000000001,0.7999999999999998,0.17033381288367372,0.12235265121396846,0.2914540816326531,2.177817717996289,17248
0.40000000000000013,0.44999999999999996,0.28221744306507757,0.2610296806754367,0.3442138218923933,0.7170686456400742,17248
0.40000000000000013,0.49999999999999994,0.36013382988249637,0.31974903028068613,0.4737360853432282,1.1205357142857142,17248
0.40000000000000013,0.5499999999999999,0.41795111534646556,0.35618327524490556,0.5850533395176253,1.5463242115027829,17248
0.40000000000000013,0.5999999999999999,0.43576767378802395,0.35382551395857287,0.6483070500927643,1.9159322820037106,17248
0.40000000000000013,0.6499999999999999,0.4060212297558656,0.31489443016141766,0.6381609461966605,2.162279684601113,17248
0.40000000000000013,0.7,0.34385943321906914,0.25634657920285236,0.5688775510204082,2.3031076066790352,17248
0.40000000000000013,0.7499999999999999,0.26547353340459784,0.19133421061905523,0.46370593692022266,2.361317254174397,17248
0.40000000000000013,0.7999999999999998,0.20278027428276732,0.1423043714106446,0.3736665120593692,2.376739332096475,17248
0.4500000000000001,0.49999999999999994,0.35482343151629614,0.3141385972272162,0.48944805194805197,1.3250231910946197,17248
0.4500000000000001,0.5499999999999999,0.4138260721409321,0.3495314240168716,0.6189123376623377,1.8503594619666048,17248
0.4500000000000001,0.5999999999999999,0.4363565238385337,0.3491425874757616,0.699443413729128,2.274234693877551,17248
0.4500000000000001,0.6499999999999999,0.4171408045421571,0.31742993285222393,0.7091836734693877,2.5419758812615956,17248
0.4500000000000001,0.7,0.3685187420808089,0.26898760137417815,0.660482374768089,2.6868622448979593,17248
0.4500000000000001,0.7499999999999999,0.2981415002749957,0.21001941182563144,0.5670802411873841,2.745709647495362,17248
0.4500000000000001,0.7999999999999998,0.23691701047907732,0.16210081256774647,0.4791859925788497,2.7611897031539887,17248
0.5000000000000001,0.5499999999999999,0.39856564184985893,0.3357419783522043,0.6426832096474954,2.3278061224489797,17248
